iter	Passed	Remaining
408	5399	7801
409	5411	7787
410	5423	7772
411	5437	7760
412	5450	7746
413	5463	7733
414	5476	7719
415	5488	7705
416	5502	7692
417	5515	7679
418	5528	7665
419	5540	7650
420	5554	7638
421	5567	7625
422	5580	7611
423	5593	7598
424	5607	7586
425	5621	7573
426	5634	7561
427	5647	7547
428	5660	7534
429	5673	7520
430	5686	7507
431	5700	7494
432	5712	7479
433	5726	7468
434	5739	7454
435	5752	7441
436	5766	7428
437	5780	7417
438	5793	7403
439	5807	7390
440	5821	7379
441	5834	7365
442	5847	7352
443	5862	7341
444	5876	7329
445	5889	7315
446	5903	7303
447	5917	7291
448	5931	7278
449	5945	7266
450	5959	7254
451	5974	7243
452	5988	7230
453	6000	7216
454	6014	7203
455	6027	7190
456	6041	7177
457	6055	7165
458	6069	7153
459	6082	7140
460	6096	7127
461	6109	7114
462	6123	7102
463	6137	7090
464	6151	7077
465	6164	7064
466	6177	7049
467	6190	7037
468	6204	7024
469	6217	7011
470	6231	6998
471	6244	6985
472	6259	6973
473	6273	6961
474	6286	6948
475	6300	6936
476	6313	6922
477	6325	6908
478	6338	6894
479	6353	6882
480	6366	6869
481	6380	6856
482	6392	6842
483	6406	6830
484	6420	6817
485	6432	6803
486	6446	6791
487	6460	6777
488	6474	6765
489	6487	6752
490	6501	6739
491	6514	6726
492	6527	6712
493	6540	6699
494	6554	6686
495	6567	6673
496	6581	6661
497	6595	6647
498	6608	6634
499	6622	6622
500	6635	6609
501	6648	6595
502	6661	6582
503	6676	6570
504	6688	6556
505	6702	6543
506	6714	6528
507	6726	6514
508	6739	6500
509	6752	6487
510	6765	6474
511	6778	6460
512	6791	6447
513	6804	6433
514	6818	6421
515	6831	6407
516	6843	6393
517	6857	6380
518	6870	6366
519	6883	6353
520	6896	6340
521	6909	6327
522	6922	6313
523	6936	6300
524	6948	6286
525	6962	6274
526	6976	6262
527	6990	6249
528	7003	6235
529	7017	6222
530	7030	6209
531	7043	6196
532	7056	6182
533	7068	6168
534	7081	6155
535	7096	6142
536	7110	6130
537	7123	6116
538	7135	6102
539	7149	6090
540	7163	6077
541	7177	6064
542	7189	6050
543	7202	6037
544	7215	6023
545	7229	6011
546	7243	5999
547	7257	5986
548	7271	5973
549	7284	5959
550	7297	5946
551	7311	5933
552	7324	5920
553	7336	5906
554	7349	5892
555	7363	5879
556	7376	5866
557	7389	5853
558	7403	5840
559	7415	5826
560	7428	5813
561	7442	5800
562	7456	5787
563	7468	5773
564	7481	5759
565	7493	5745
566	7505	5731
567	7519	5719
568	7532	5705
569	7546	5693
570	7561	5680
571	7573	5666
572	7586	5653
573	7599	5639
574	7612	5626
575	7625	5613
576	7639	5600
577	7652	5587
578	7666	5574
579	7678	5559
580	7690	5545
581	7703	5532
582	7717	5520
583	7731	5507
584	7744	5494
585	7757	5480
586	7771	5467
587	7783	5453
588	7797	5440
589	7811	5428
590	7823	5414
591	7837	5401
592	7851	5388
593	7865	5375
594	7877	5362
595	7891	5349
596	7904	5335
597	7916	5322
598	7930	5309
599	7943	5295
600	7956	5282
601	7970	5269
602	7985	5257
603	8000	5245
604	8014	5232
605	8027	5219
606	8039	5205
607	8053	5192
608	8067	5179
609	8081	5166
610	8094	5153
611	8107	5139
612	8120	5126
613	8134	5113
614	8147	5100
615	8160	5086
616	8173	5073
617	8186	5060
618	8200	5047
619	8214	5034
620	8227	5021
621	8240	5008
622	8252	4993
623	8266	4980
624	8279	4967
625	8293	4954
626	8306	4941
627	8319	4928
628	8332	4914
629	8344	4900
630	8358	4887
631	8371	4874
632	8385	4861
633	8398	4848
634	8411	4834
635	8424	4821
636	8437	4808
637	8450	4794
638	8464	4781
639	8477	4768
640	8491	4755
641	8505	4742
642	8518	4729
643	8531	4716
644	8546	4703
645	8560	4690
646	8574	4678
647	8588	4665
648	8602	4652
649	8615	4638
650	8629	4626
651	8642	4612
652	8656	4600
653	8669	4586
654	8684	4574
655	8697	4561
656	8711	4548
657	8724	4534
658	8739	4522
659	8753	4509
660	8766	4495
661	8779	4482
662	8791	4468
663	8805	4455
664	8818	4442
665	8832	4429
666	8844	4415
667	8858	4402
668	8871	4389
669	8884	4375
670	8896	4362
671	8910	4349
672	8924	4336
673	8937	4322
674	8950	4309
675	8964	4296
676	8977	4283
677	8992	4270
678	9006	4257
679	9020	4244
680	9034	4232
681	9048	4218
682	9062	4206
683	9077	4193
684	9090	4180
685	9103	4167
686	9117	4154
687	9131	4141
688	9143	4127
689	9156	4113
690	9171	4101
691	9185	4088
692	9198	4074
693	9211	4061
694	9225	4048
695	9240	4036
696	9253	4022
697	9266	4009
698	9280	3996
699	9294	3983
700	9310	3971
701	9323	3957
702	9337	3944
703	9350	3931
704	9365	3918
705	9379	3905
706	9394	3893
707	9408	3880
708	9422	3867
709	9436	3854
710	9450	3841
711	9464	3828
712	9477	3815
713	9491	3801
714	9504	3788
715	9517	3774
716	9530	3761
717	9543	3748
718	9557	3735
719	9569	3721
720	9583	3708
721	9597	3695
722	9610	3682
723	9624	3668
724	9637	3655
725	9651	3642
726	9665	3629
727	9678	3616
728	9692	3603
729	9705	3589
730	9718	3576
731	9731	3562
732	9744	3549
733	9758	3536
734	9771	3522
735	9785	3510
736	9798	3496
737	9812	3483
738	9828	3471
739	9842	3458
740	9855	3444
741	9869	3431
742	9881	3417
743	9894	3404
744	9908	3391
745	9922	3378
746	9937	3365
747	9950	3352
748	9963	3339
749	9976	3325
750	9990	3312
751	10005	3299
752	10019	3286
753	10033	3273
754	10045	3259
755	10058	3246
756	10072	3233
757	10085	3219
758	10099	3206
759	10113	3193
760	10125	3180
761	10139	3166
762	10153	3153
763	10182	3145
764	10194	3131
765	10207	3118
766	10221	3105
767	10234	3091
768	10249	3078
769	10262	3065
770	10276	3052
771	10289	3038
772	10302	3025
773	10315	3012
774	10328	2998
775	10341	2985
776	10355	2972
777	10368	2958
778	10384	2945
779	10397	2932
780	10410	2919
781	10423	2905
782	10437	2892
783	10450	2879
784	10464	2866
785	10478	2852
786	10491	2839
787	10504	2826
788	10519	2813
789	10533	2800
790	10547	2786
791	10561	2773
792	10573	2759
793	10587	2746
794	10600	2733
795	10615	2720
796	10628	2707
797	10641	2693
798	10653	2680
799	10668	2667
800	10681	2653
801	10694	2640
802	10707	2626
803	10719	2613
804	10732	2599
805	10745	2586
806	10758	2572
807	10771	2559
808	10783	2545
809	10796	2532
810	10810	2519
811	10823	2506
812	10837	2492
813	10851	2479
814	10864	2466
815	10877	2452
816	10891	2439
817	10904	2426
818	10917	2412
819	10931	2399
820	10944	2386
821	10957	2372
822	10970	2359
823	10983	2345
824	10995	2332
825	11009	2319
826	11023	2306
827	11036	2292
828	11049	2279
829	11062	2265
830	11075	2252
831	11088	2238
832	11101	2225
833	11114	2212
834	11128	2199
835	11143	2186
836	11157	2172
837	11172	2159
838	11185	2146
839	11197	2132
840	11210	2119
841	11224	2106
842	11238	2093
843	11252	2079
844	11265	2066
845	11279	2053
846	11291	2039
847	11308	2027
848	11323	2013
849	11339	2001
850	11352	1987
851	11365	1974
852	11378	1960
853	11392	1947
854	11406	1934
855	11420	1921
856	11435	1908
857	11450	1895
858	11464	1881
859	11479	1868
860	11492	1855
861	11507	1842
862	11522	1829
863	11534	1815
864	11547	1802
865	11559	1788
866	11572	1775
867	11585	1761
868	11598	1748
869	11610	1734
870	11623	1721
871	11636	1708
872	11649	1694
873	11661	1681
874	11674	1667
875	11687	1654
876	11700	1641
877	11713	1627
878	11726	1614
879	11740	1600
880	11753	1587
881	11765	1574
882	11778	1560
883	11791	1547
884	11804	1533
885	11817	1520
886	11830	1507
887	11843	1493
888	11855	1480
889	11867	1466
890	11880	1453
891	11893	1439
892	11905	1426
893	11918	1413
894	11931	1399
895	11945	1386
896	11959	1373
897	11972	1359
898	11984	1346
899	11997	1333
900	12010	1319
901	12024	1306
902	12036	1292
903	12049	1279
904	12063	1266
905	12077	1253
906	12090	1239
907	12104	1226
908	12118	1213
909	12131	1199
910	12145	1186
911	12160	1173
912	12172	1159
913	12184	1146
914	12198	1133
915	12212	1119
916	12226	1106
917	12240	1093
918	12254	1080
919	12268	1066
920	12281	1053
921	12296	1040
922	12309	1026
923	12323	1013
924	12336	1000
925	12350	986
926	12363	973
927	12377	960
928	12391	947
929	12405	933
930	12418	920
931	12432	907
932	12445	893
933	12458	880
934	12471	867
935	12484	853
936	12497	840
937	12510	826
938	12523	813
939	12536	800
940	12550	786
941	12562	773
942	12578	760
943	12592	747
944	12608	733
945	12622	720
946	12637	707
947	12651	693
948	12666	680
949	12679	667
950	12693	654
951	12707	640
952	12721	627
953	12735	614
954	12749	600
955	12762	587
956	12776	574
957	12790	560
958	12805	547
